timestamp,src_ip,dst_ip,dst_port,protocol,size_bytes,label,scenario_name
2026-01-01T00:00:00+00:00,10.10.10.5,203.0.113.10,443,tcp,120,beacon,fixed_periodic
2026-01-01T00:00:43+00:00,10.10.10.6,203.0.113.11,443,tcp,120,beacon,jittered
2026-01-01T00:00:45+00:00,10.10.10.5,203.0.113.10,443,tcp,120,beacon,fixed_periodic
2026-01-01T00:01:05.152654+00:00,10.0.0.25,203.0.113.77,8080,udp,168,benign,normal_telemetry
2026-01-01T00:01:16.799144+00:00,10.10.10.6,203.0.113.11,443,tcp,120,beacon,jittered
2026-01-01T00:01:30+00:00,10.10.10.5,203.0.113.10,443,tcp,120,beacon,fixed_periodic
2026-01-01T00:01:31+00:00,10.10.10.7,203.0.113.12,8443,tcp,120,beacon,bursty
2026-01-01T00:01:32.200906+00:00,10.10.10.7,203.0.113.12,8443,tcp,120,beacon,bursty
2026-01-01T00:01:32.684006+00:00,10.10.10.7,203.0.113.12,8443,tcp,120,beacon,bursty
2026-01-01T00:01:49.890311+00:00,10.0.0.25,203.0.113.77,8080,udp,203,benign,normal_telemetry
2026-01-01T00:02:05.484717+00:00,10.10.10.6,203.0.113.11,443,tcp,120,beacon,jittered
2026-01-01T00:02:15+00:00,10.10.10.5,203.0.113.10,443,tcp,120,beacon,fixed_periodic
2026-01-01T00:02:17+00:00,10.10.10.8,203.0.113.13,9443,tcp,101,beacon,time_size_jittered
2026-01-01T00:02:43.510733+00:00,10.10.10.6,203.0.113.11,443,tcp,120,beacon,jittered
2026-01-01T00:02:55.078629+00:00,10.0.0.25,203.0.113.77,8080,udp,221,benign,normal_telemetry
2026-01-01T00:02:58.330488+00:00,10.10.10.8,203.0.113.13,9443,tcp,92,beacon,time_size_jittered
2026-01-01T00:03:00+00:00,10.10.10.5,203.0.113.10,443,tcp,120,beacon,fixed_periodic
2026-01-01T00:03:10.442608+00:00,10.0.0.25,203.0.113.8,53,udp,213,benign,normal_api_polling
